"","number","color"
"1",1,"Red"
"2",2,"Red"
"3",3,"Black"
"4",4,"Red"
"5",5,"Blue"
"6",6,"Blue"
"7",7,"Red"
"8",8,"Black"
"9",9,"Blue"
"10",10,"Red"
"11",1,"Blue"
"12",2,"Red"
"13",3,"Red"
"14",4,"Black"
"15",5,"Blue"
"16",6,"Red"
"17",7,"Red"
"18",8,"Black"
"19",9,"Blue"
"20",10,"Blue"
"21",1,"Red"
"22",2,"Black"
"23",3,"Red"
"24",4,"Red"
"25",5,"Black"
"26",6,"Blue"
"27",7,"Black"
"28",8,"Red"
"29",9,"Blue"
"30",10,"Red"
"31",1,"Red"
"32",2,"Red"
"33",3,"Black"
"34",4,"Blue"
"35",5,"Black"
"36",6,"Red"
"37",7,"Black"
"38",8,"Black"
"39",9,"Red"
"40",10,"Blue"
"41",1,"Black"
"42",2,"Blue"
"43",3,"Black"
"44",4,"Red"
"45",5,"Blue"
"46",6,"Red"
"47",7,"Red"
"48",8,"Blue"
"49",9,"Red"
"50",10,"Blue"
"51",1,"Black"
"52",2,"Black"
"53",3,"Black"
"54",4,"Red"
"55",5,"Black"
"56",6,"Red"
"57",7,"Blue"
"58",8,"Black"
"59",9,"Black"
"60",10,"Blue"
"61",1,"Blue"
"62",2,"Red"
"63",3,"Red"
"64",4,"Blue"
"65",5,"Red"
"66",6,"Black"
"67",7,"Black"
"68",8,"Red"
"69",9,"Blue"
"70",10,"Black"
"71",1,"Black"
"72",2,"Black"
"73",3,"Black"
"74",4,"Blue"
"75",5,"Black"
"76",6,"Red"
"77",7,"Black"
"78",8,"Black"
"79",9,"Blue"
"80",10,"Black"
"81",1,"Blue"
"82",2,"Black"
"83",3,"Black"
"84",4,"Blue"
"85",5,"Red"
"86",6,"Blue"
"87",7,"Black"
"88",8,"Black"
"89",9,"Black"
"90",10,"Black"
"91",1,"Blue"
"92",2,"Black"
"93",3,"Black"
"94",4,"Red"
"95",5,"Red"
"96",6,"Red"
"97",7,"Black"
"98",8,"Blue"
"99",9,"Red"
"100",10,"Blue"
"101",1,"Blue"
"102",2,"Black"
"103",3,"Black"
"104",4,"Black"
"105",5,"Red"
"106",6,"Red"
"107",7,"Red"
"108",8,"Red"
"109",9,"Blue"
"110",10,"Black"
"111",1,"Blue"
"112",2,"Red"
