"","poll_id","pollster_id","pollster","sponsor_ids","sponsors","display_name","pollster_rating_id","pollster_rating_name","numeric_grade","pollscore","methodology","transparency_score","state","start_date","end_date","sponsor_candidate_id","sponsor_candidate","sponsor_candidate_party","endorsed_candidate_id","endorsed_candidate_name","endorsed_candidate_party","question_id","sample_size","population","subpopulation","population_full","tracking","created_at","notes","url","source","internal","partisan","race_id","cycle","office_type","seat_number","seat_name","election_date","stage","nationwide_batch","biden"
"1",72862,1250,"Trafalgar Group",NA,NA,"Trafalgar Group",338,"Trafalgar Group",0.7,0.5,"IVR/Live Phone/Text/Online Panel/Email",1,"Georgia",2020-10-31,2020-11-02,NA,NA,NA,NA,NA,NA,136721,1041,"lv",NA,"lv",NA,"11/4/20 10:38",NA,"https://drive.google.com/file/d/1lvHuG_JX55hwFHsKD5PSRTnGvH-ClmcF/view",538,NA,"REP",6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,45.4
"2",72850,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-20,2020-11-02,NA,NA,NA,NA,NA,NA,136709,3962,"lv",NA,"lv",TRUE,"11/4/20 10:36",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"3",72579,235,"InsiderAdvantage",1457,"Center for American Greatness","InsiderAdvantage",243,"InsiderAdvantage",2,-0.4,"IVR/Live Phone",5,"Georgia",2020-11-01,2020-11-01,NA,NA,NA,NA,NA,NA,136208,500,"lv",NA,"lv",NA,"11/1/20 19:42",NA,"https://overland.amgreatness.com/app/uploads/2020/11/GAInsider-Advantage_Center-for-American-Greatness-Statewide-Poll.pdf",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,46.1
"4",72661,262,"Landmark Communications",90,"WSB-TV","Landmark Communications",166,"Landmark Communications",2.1,-0.6,"IVR/Live Phone",4,"Georgia",2020-11-01,2020-11-01,NA,NA,NA,NA,NA,NA,136358,500,"lv",NA,"lv",NA,"11/2/20 15:43",NA,"https://www.realclearpolitics.com/docs/2020/FINAL_WSBTV_Landmark_Poll_Georgia_PresSenate_Nov_1_2020.pdf",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,46
"5",72639,1641,"aytm.com",1513,"Aspiration","AYTM",635,"AYTM",NA,-0.1,"Online Panel",3,"Georgia",2020-10-30,2020-11-01,NA,NA,NA,NA,NA,NA,136310,380,"lv",NA,"lv",NA,"11/2/20 10:12",NA,"https://blog.aspiration.com/divided-over-the-election-but-ready-to-move-to-clean-money/",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,52
"6",72738,1515,"Data for Progress",NA,NA,"Data for Progress",522,"Data for Progress",2.7,-1.2,"Online Panel/Text-to-Web",6,"Georgia",2020-10-27,2020-11-01,NA,NA,NA,NA,NA,NA,136512,1036,"lv",NA,"lv",NA,"11/2/20 20:18",NA,"https://filesforprogress.org/datasets/2020/11/2020-election-polls/toplines/dfp_ga_11.2.20.pdf",538,FALSE,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"7",72766,1522,"Swayable",NA,NA,"Swayable",543,"Swayable",NA,0,"Online Ad",6,"Georgia",2020-10-27,2020-11-01,NA,NA,NA,NA,NA,NA,136548,438,"lv",NA,"lv",NA,"11/2/20 22:13",NA,"https://www.swayable.com/polls/2020-11-02-large.html",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,53.6
"8",72703,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-19,2020-11-01,NA,NA,NA,NA,NA,NA,136456,3535,"lv",NA,"lv",TRUE,"11/2/20 17:08",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"9",72593,1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",2.7,-0.8,"Online Panel",5,"Georgia",2020-10-30,2020-10-31,NA,NA,NA,NA,NA,NA,136231,679,"lv",NA,"lv",NA,"11/1/20 22:56",NA,"https://projects.fivethirtyeight.com/polls/20201101_GA_atlasintel.pdf",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,46.1
"10",72517,1102,"Emerson",NA,NA,"Emerson College",88,"Emerson College",2.9,-1.1,"IVR/Online Panel/Text-to-Web",8,"Georgia",2020-10-29,2020-10-31,NA,NA,NA,NA,NA,NA,136083,749,"lv",NA,"lv",NA,"11/1/20 17:15",NA,"https://emersonpolling.reportablenews.com/pr/super-poll-sunday-democrats-within-striking-distance-in-key-southern-states",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,48.8
"11",72605,1189,"Morning Consult",NA,NA,"Morning Consult",218,"Morning Consult",1.8,-0.2,"Online Panel",4,"Georgia",2020-10-22,2020-10-31,NA,NA,NA,NA,NA,NA,136253,1743,"lv",NA,"lv",TRUE,"11/2/20 07:15",NA,"https://morningconsult.com/form/2020-u-s-election-tracker/",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,48.8
"12",72565,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-18,2020-10-31,NA,NA,NA,NA,NA,NA,136187,3748,"lv",NA,"lv",TRUE,"11/1/20 19:00",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"13",72464,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-16,2020-10-30,NA,NA,NA,NA,NA,NA,135990,3736,"lv",NA,"lv",TRUE,"10/31/20 20:45",NA,"https://public.tableau.com/profile/surveymonkey#!/vizhome/Bidenvs_TrumpDashboard9_21/Biden-TrumpDashboard",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"14",72385,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-16,2020-10-29,NA,NA,NA,NA,NA,NA,135825,3755,"lv",NA,"lv",TRUE,"10/30/20 20:33",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"15",72336,262,"Landmark Communications",90,"WSB-TV","Landmark Communications",166,"Landmark Communications",2.1,-0.6,"IVR/Live Phone",4,"Georgia",2020-10-28,2020-10-28,NA,NA,NA,NA,NA,NA,135718,750,"lv",NA,"lv",NA,"10/30/20 17:24",NA,"https://www.documentcloud.org/documents/7279640-WSBTV-Landmark-GA-Poll-PresSenate-10-27-28-20.html",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,47
"16",72798,1642,"Wick",NA,NA,"Wick",284,"Wick",1.4,0.1,"IVR/Text-to-Web",3,"Georgia",2020-10-27,2020-10-28,NA,NA,NA,NA,NA,NA,136596,1000,"lv",NA,"lv",NA,"11/2/20 22:47",NA,"https://medium.com/wick-research/predicting-2020-research-on-the-research-57ad9b7b3d5a",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,46.9
"17",72282,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-10-01,2020-10-28,NA,NA,NA,NA,NA,NA,135622,7019,"lv",NA,"lv",TRUE,"10/29/20 21:25",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"18",72146,320,"Monmouth",NA,NA,"Monmouth University Polling Institute",215,"Monmouth University Polling Institute",2.9,-0.9,"Live Phone",10,"Georgia",2020-10-23,2020-10-27,NA,NA,NA,NA,NA,NA,135281,504,"lv",NA,"lv",NA,"10/28/20 13:06","higher turnout model","https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"19",72146,320,"Monmouth",NA,NA,"Monmouth University Polling Institute",215,"Monmouth University Polling Institute",2.9,-0.9,"Live Phone",10,"Georgia",2020-10-23,2020-10-27,NA,NA,NA,NA,NA,NA,135282,504,"lv",NA,"lv",NA,"10/28/20 13:06","lower turnout model","https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ga_102820/",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"20",72128,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-09-30,2020-10-27,NA,NA,NA,NA,NA,NA,135255,6720,"lv",NA,"lv",TRUE,"10/28/20 10:15",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
"21",72520,1356,"CES / YouGov",NA,NA,"CCES/YouGov",391,"YouGov",2.9,-1.1,"Online Panel",10,"Georgia",2020-09-29,2020-10-27,NA,NA,NA,NA,NA,NA,136090,1456,"lv",NA,"lv",NA,"11/1/20 18:38",NA,"https://bfschaffner.shinyapps.io/ces_swing/",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,48
"22",72040,1447,"Civiqs",185,"Daily Kos","Civiqs",471,"Civiqs",2.5,-0.2,"Online Panel/Online Ad",8,"Georgia",2020-10-23,2020-10-26,NA,NA,NA,NA,NA,NA,135050,1041,"lv",NA,"lv",NA,"10/27/20 08:25",NA,"https://civiqs.com/documents/Civiqs_DailyKos_GA_banner_book_2020_10_p577m2.pdf",538,NA,"DEM",6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,51
"23",72299,1522,"Swayable",NA,NA,"Swayable",543,"Swayable",NA,0,"Online Ad",6,"Georgia",2020-10-23,2020-10-26,NA,NA,NA,NA,NA,NA,135639,373,"lv",NA,"lv",NA,"10/30/20 07:54",NA,"https://www.swayable.com/polls/2020-10-28.html",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50.5
"24",72018,1193,"SurveyMonkey",788,"Axios","SurveyMonkey",324,"SurveyMonkey",1.9,0.2,"Online Panel",10,"Georgia",2020-09-28,2020-10-25,NA,NA,NA,NA,NA,NA,135021,6564,"lv",NA,"lv",TRUE,"10/26/20 18:45",NA,"https://www.tableau.com/data-insights/us-election-2020/candidate-preference",538,NA,NA,6221,2020,"U.S. President",0,NA,"11/3/20","general",FALSE,50
