country,treatment,categorynum,motive_selfimage,motive_harm,motive_detection,motive_reputation,contact_prob_own,reward,reward_prob,reward_USD,exp_reward_USD,socialdesirability,empathy_score,protectedvalues,owner_income,contact_prob_other,lost_wallet,lost_phone,lost_keys,found_wallet,found_phone,found_keys,appro_cheattaxes,appro_keepwallet,appro_claimbenefits,appro_parkdamage,nomoney,midmoney,nokey,highmoney,countryFE,money_in_wallet,money_in_wallet_int,RESTRICTED_SAMPLE
"USA",4,5,10,10,8,10,100,20,.1,20,2,3.3333333,2.1428571,3.25,2,80,1,1,1,0,0,1,-2,-2,-2,-1,0,0,0,1,3,94.83,1,1
"USA",1,2,3,5,9,6,60.000004,20,.2,20,4,2.1666667,2,3.25,1,40,0,0,1,0,0,0,-1,-1,1,-2,0,1,0,0,3,13.84,1,1
"USA",3,3,3,2,0,7,80,5,.1,5,.5,2.3333333,2,3.5,0,60.000004,0,0,0,0,0,0,-1,1,-1,-2,1,0,0,0,3,0,1,1
"USA",4,1,9,7,1,0,100,8.5,.69999999,8.5,5.9499998,3,1.7142857,6,2,70,1,0,1,0,0,0,1,-2,1,1,0,0,0,1,3,94.45,1,1
"USA",1,1,0,2,1,3,90,20,.1,20,2,1.8333334,2,5,1,70,0,0,0,0,0,0,1,-1,1,1,0,1,0,0,3,13.28,1,1
"USA",3,4,10,8,10,10,100,10,.5,10,5,4,2.2857144,5,2,60.000004,0,0,0,1,0,1,2,-1,2,1,1,0,0,0,3,0,1,1
"USA",2,4,9,9,5,8,90,5,.5,5,2.5,2.8333333,2,3.25,0,90,0,0,1,1,0,1,-1,-2,-2,-2,0,0,1,0,3,13.75,1,1
"USA",4,5,10,7,6,9,100,8.5,.1,8.5,.85000002,1.8333334,2,4.5,2,90,1,0,0,1,1,0,-1,2,-2,-2,0,0,0,1,3,94.5,1,1
"USA",4,3,6,10,10,10,90,20.1,.89999998,20.1,18.09,3.6666667,2.2857144,3.5,0,70,1,1,1,1,1,1,-2,2,2,1,0,0,0,1,3,94.45,1,1
"USA",3,1,0,7,0,6,100,1,.40000001,1,.40000001,4,2,4.75,0,90,1,1,1,1,0,0,-2,1,-1,-2,1,0,0,0,3,0,1,1
"USA",4,1,9,10,8,6,100,10,.80000001,10,8,3.8333333,2.1428571,4.25,2,60.000004,1,0,1,1,0,0,-2,2,-1,-2,0,0,0,1,3,50,0,0
"USA",3,4,10,8,8,10,90,59.400002,.80000001,59.400002,47.52,2.3333333,2.8571429,2.75,2,80,1,1,1,0,0,0,2,2,1,1,1,0,0,0,3,45,0,0
"USA",2,1,10,10,8,8,100,7.5,.5,7.5,3.75,3.3333333,2.1428571,3.25,-1,50,0,1,1,1,0,0,-2,-2,-1,-1,0,0,1,0,3,13.45,1,1
"USA",1,5,8,9,9,9,80,6.5999999,.89999998,6.5999999,5.9399996,2.3333333,3.1428571,3,2,90,1,1,0,1,0,1,2,1,2,1,0,1,0,0,3,0,0,0
"USA",3,3,8,9,9,9,90,8.8999996,.89999998,8.8999996,8.0099993,2.6666667,2.5714285,2.5,2,90,0,1,1,1,1,1,2,2,2,1,1,0,0,0,3,0,1,1
