D,P,Q,R,U,W,X,Y,Z
0,0.693041482203726,1,1,0,0,-0.7495453546081768,-4.860337675202501,0
1,-0.02311431045889329,0,1,1,1,1.5886215888343227,-1.816758293067839,1
1,-0.7936864556768309,0,0,1,0,2.0176802399929357,-1.8108944549751476,1
1,1.0535472768732732,1,1,0,0,0.7445060643735582,-3.3940163561251784,0
0,1.0611599882580436,0,0,0,0,-2.0175040142882334,-2.0002889731867377,0
0,2.290934186741034,0,0,1,0,-2.5342663302121817,-4.796688429131689,1
1,-1.2185120215371845,0,0,1,1,2.7125222600318915,-0.5126400532266813,1
0,-0.7224740426099449,1,0,0,0,0.6643137339285736,-3.659413329671818,0
1,-0.03762861345168977,1,1,1,0,0.7727472458185709,-6.784474064322344,1
1,1.6801306554842,1,1,1,0,0.804885497744995,-8.388669788714394,1
1,-0.6807673063018438,1,1,0,0,0.8417739070439368,-3.575097401997619,0
1,0.3759210750604187,1,1,0,0,-0.2216062033756151,-5.87637523402085,0
1,0.15664208651812037,1,1,0,1,1.0807294626524366,-0.6578187435776122,1
1,-0.9131390044885939,1,1,0,1,1.2773095777918992,1.0399254757669734,1
1,-0.6469186247784429,0,0,1,0,-0.10775859166946988,-3.2406902483723816,1
1,-0.3598112484757433,1,0,1,0,-1.0203350575827228,-10.25903605981219,0
0,0.5050695127233221,0,0,1,0,-0.9047107477887829,-7.1334747873123545,0
1,-0.9551923682463742,0,1,1,1,3.28604365302883,0.4560794298975738,1
1,1.0853835214967589,0,0,0,1,1.280832204467535,4.703128647147722,1
1,-0.455290828269377,0,0,1,0,0.5834315359541026,-4.116632775837829,0
1,0.2782861751757576,1,0,1,0,-0.15514523710283723,-8.802803211230938,1
1,-0.9087237828664863,0,0,0,1,1.9991008342966756,4.69269227050728,1
1,-0.9767402704678599,1,1,0,0,-0.5249900283443352,-1.8837010794033553,1
1,-0.7199771663765339,0,0,1,1,3.112418650984324,0.47201901495676357,1
1,-0.6886642520401947,1,0,1,0,0.8029585654062861,-8.117092127612667,0
1,-1.086125393296028,0,1,1,1,2.653758647673104,0.8046414165365869,1
1,-0.33010344809007086,1,0,1,0,1.3278447375194709,-6.168306950729263,1
1,-1.0542286389617024,1,1,1,0,2.4340478823750167,-6.024534648512947,1
1,-1.5931951184146285,0,0,0,1,2.392531411317934,2.9481163355531614,0
1,-0.0980757855502121,1,0,1,0,1.275315645025885,-7.418501928467766,0
0,1.7284738007570077,1,0,0,1,-1.0612308381198607,-3.8521852001874812,0
0,1.0026052246953527,0,0,0,0,-0.6100024339774868,-2.015957476404827,0
1,-1.822507731374174,0,0,1,0,1.314851297599446,-1.6339387939455599,1
