"Data Source","World Development Indicators",

"Last Updated Date","2021-04-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23309.0205195563","25020.5071656845","25661.3190060198","26529.2339559483","27714.7166064816","27707.4342303419","27562.4596678167","29222.894893298","29509.8765861512","29718.169823562","32031.5554270993","31062.3492934753","29847.9283529006","30355.732380247","33053.2465349766","34050.4715781236","35167.1663623142","36621.0351286655","37249.4504595791","33552.8898221987","32624.2090942429","34326.1448226739","33569.1865005073","36477.7793887055","36444.2620573183","36765.1160710175","37359.3734383699","38442.4138382323","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.014423503263","927.857547917432","925.441616196776","1023.05162974192","1077.76190658441","1228.70413531195","1272.57320417194","1519.69254818311","1710.57564538432","1699.48799733991","1914.77435127371","2015.51496204541","2069.42464180385","2087.30532306683","1981.11246948904","2058.3838315796","2083.32189722387","2156.41948202725","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3281.3135735087","3313.88875788553","3088.53249989352","2326.64530296358","2331.70491551546","2651.02028294565","2968.24368662168","3136.51670801063","3215.10540973782","3226.12854878707","3289.41035208343","3389.19696673566","3785.15053816335","3838.79462877094","4225.46635014197","4837.7103248494","5362.02090732509","6050.60968618101","6607.29224335356","6470.6735199461","6587.98722101771","6710.75034592031","7412.96526317885","7682.47715828865","8179.29600657648","7337.56955890673","7103.22593805788","7310.90173803536","7102.40588709233","6965.51137380329","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.84576399077","1908.64433085802","1822.85907646873","2056.94345353532","2289.30974799364","2665.10903649849","2979.3330899284","2716.69355834805","3020.93057263444","3471.65635908955","3862.48437763265","4301.38282973192","4661.37914319822","4994.92469274671","5423.20168382235","5865.31759085604","6557.80133674236","7274.52468523841","8228.32755984622","8819.51009173416","9636.10870469977","10207.7335023376","10526.3189737173","10570.9681040326","11259.2967004521","11658.8660596051","12078.8007284137","12811.7594357276","13974.0116065658","14648.2674019058","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6851.92759090355","7419.41125949477","7821.20143644544","8018.05826243803","8212.07170344383","8346.02871046232","8682.87358494161","8997.16460797649","9400.64733051796","9523.45775915847","10043.7045853721","10209.7958134118","10200.9080982405","10660.667974319","11687.0683425983","12445.0590435191","13293.1328707845","13918.9352881997","14661.3781899372","14527.2618871307","15033.1685207891","15512.9315797058","16552.8429159962","16510.0218285662","16219.8001755189","14618.6178012172","14025.8309261325","14562.3319574677","14985.3158359547","15256.3389958135","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87226.539265433","85847.3220068388","85624.905810123","83847.7035377422","86706.2982363196","89724.4893268496","91943.1373649848","96179.9722131052","92627.8658909762","91710.3909498003","98363.731313815","96722.5963740878","95549.9701826708","99238.3363410692","101871.509406171","97669.9936042722","95678.2816433118","87101.6830876905","79730.9491122889","68166.4444111404","64881.8564596473","67686.3929453288","69102.4912887174","70374.2200605325","73619.1005840251","64901.8520246431","63968.853871334","67183.6265568253","68599.6181782301","70089.3240378269","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7195.69144362769","8005.4655573034","8719.10168201752","9532.88869650178","10175.1251213101","9969.60059832634","10586.1105734027","11507.8983190072","11949.4160090803","11581.8905138092","11618.7960699385","11226.8773364026","10052.4866557189","11025.1855197998","12214.7400768279","13568.7667646161","14951.7281897097","16570.0111738898","17404.0687077926","16334.7400065189","18061.9343588337","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.1177528578","23313.8179401811","23040.2879526544","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2773.93765687774","2555.99582410779","1549.08496460205","1480.51515513128","1632.34287915359","1818.28694777502","1990.57789647875","2115.61164169899","2313.62077009594","2439.91117343673","2658.34951796364","2995.90786329454","3463.98378009445","4043.66310083902","4614.8621143271","5455.42218549941","6411.80663579136","7551.63591039782","8300.48342402442","7233.04493715393","7506.30886457323","8025.45290497468","9364.40776670097","9835.83301127565","10036.8898405952","9969.68530070715","10704.2334081494","12115.0570089389","13024.6948100321","14257.9624870448","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11595.0978094185","12085.9576158363","12290.4607905788","12982.954527947","13845.1695954087","13230.6158565053","14055.0559097486","14757.7417252409","15305.45969936","15789.4351993096","16841.1274496447","16173.3262213363","16368.3620576635","17461.3055159453","18720.9337875466","20268.944550699","23183.4838103893","25614.4609889457","25689.7869778499","22434.6178051993","20611.914070407","20347.1845441703","19597.5903185238","18796.3939521053","19039.0045029811","18912.3174809176","19918.7906300797","19840.0761229321","21630.1795148993","22879.7660938046","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17331.0252918878","17784.511959572","18175.2494346976","19117.5994551005","20050.2763865984","20876.6566582548","21958.2550454195","22924.7748130041","24171.767188336","25264.3643562136","26321.4464495089","27373.459715943","28718.241079556","29734.7208766173","31308.2105242907","32575.0692539649","34288.8636875396","36544.8859750628","37459.307649507","40300.7555477896","39301.3411198761","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46288.3344786414","47339.969213264","48633.1332207217","51390.5028543034","53378.3927789903","",
