year,mv_incumbent,post_winning_incumbent_unc,country,term_lim,iid
2000,-18.018242,0,Brazil,1,5381
2000,-17.109276,0,Brazil,1,5382
2000,-2.293998,0,Brazil,1,5383
2000,17.538462,0,Brazil,1,5384
2000,-6.3252659,0,Brazil,1,5386
2000,28.078703,0,Brazil,1,5387
2000,-27.713144,0,Brazil,1,5390
2000,6.6507339,0,Brazil,1,5391
2000,34.377995,0,Brazil,1,5392
2000,-26.400959,0,Brazil,1,5393
2000,7.587254,0,Brazil,1,5395
2000,3.0003488,0,Brazil,1,5396
2000,-10.748044,0,Brazil,1,5397
2000,-19.50078,0,Brazil,1,5398
2000,19.415384,0,Brazil,1,5400
2000,13.519657,0,Brazil,1,5401
2000,27.142632,0,Brazil,1,5402
2000,-39.032944,1,Brazil,1,5403
2000,-19.192051,0,Brazil,1,5404
2000,33.38261,0,Brazil,1,5405
2000,-11.424902,0,Brazil,1,5408
2000,11.701811,0,Brazil,1,5409
2000,81.772491,1,Brazil,1,5413
2000,-29.254129,0,Brazil,1,5414
2000,5.4198027,0,Brazil,1,5418
2000,-23.653675,0,Brazil,1,5419
2000,-6.339416,0,Brazil,1,5420
2000,28.453875,1,Brazil,1,5421
2000,-4.0178032,0,Brazil,1,5424
2000,18.484951,1,Brazil,1,5426
2000,45.631123,0,Brazil,1,5428
2000,28.659878,0,Brazil,1,5429
2000,-4.5230627,0,Brazil,1,5432
2000,91.795456,0,Brazil,1,5433
2000,-8.689558,0,Brazil,1,5434
2000,-7.7534409,0,Brazil,1,5435
2000,30.777554,0,Brazil,1,5438
2000,-38.328529,0,Brazil,1,5439
2000,-13.100436,0,Brazil,1,5445
2000,8.5871582,0,Brazil,1,5446
2000,11.345089,0,Brazil,1,5447
2000,-3.9396882,0,Brazil,1,5449
2000,.66666603,0,Brazil,1,5450
2000,44.945099,1,Brazil,1,5451
2000,-62.154778,0,Brazil,1,5453
2000,66.962204,0,Brazil,1,5454
2000,48.82943,0,Brazil,1,5455
2000,40.846016,1,Brazil,1,5456
2000,29.96447,0,Brazil,1,5458
2000,-6.7224383,1,Brazil,1,5459
2000,63.575859,1,Brazil,1,5460
2000,17.108065,0,Brazil,1,5462
2000,-9.1295958,0,Brazil,1,5464
2000,5.1962614,0,Brazil,1,5467
2000,-25.034925,0,Brazil,1,5468
2000,71.718918,0,Brazil,1,5469
2000,-3.7771912,0,Brazil,1,5470
2000,-36.88612,0,Brazil,1,5471
2000,-11.76573,0,Brazil,1,5472
2000,8.0792217,0,Brazil,1,5474
2000,-23.47608,0,Brazil,1,5476
2000,2.6811361,0,Brazil,1,5480
2000,-15.391835,0,Brazil,1,5482
2000,-12.059858,0,Brazil,1,5483
2000,36.305733,0,Brazil,1,5485
2000,-9.8552885,0,Brazil,1,5487
2000,20.38937,1,Brazil,1,5489
2000,-10.869333,0,Brazil,1,5490
2000,44.654724,1,Brazil,1,5491
2000,8.6569757,0,Brazil,1,5492
2000,48.932301,1,Brazil,1,5493
2000,-9.3352613,0,Brazil,1,5494
2000,28.922569,0,Brazil,1,5496
2000,-20.755989,0,Brazil,1,5499
2000,10.639536,0,Brazil,1,5500
2000,-8.8280497,0,Brazil,1,5501
2000,-56.043571,0,Brazil,1,5503
2000,15.066934,1,Brazil,1,5506
2000,-1.3883054,0,Brazil,1,5509
2000,-6.0552597,0,Brazil,1,5512
2000,4.0792851,0,Brazil,1,5518
2000,6.8465352,0,Brazil,1,5521
2000,-8.4643841,0,Brazil,1,5523
2000,-29.766174,0,Brazil,1,5524
2000,-11.705568,0,Brazil,1,5525
2000,28.097933,1,Brazil,1,5527
2000,-13.01873,0,Brazil,1,5532
2000,-11.826288,0,Brazil,1,5533
2000,26.337969,0,Brazil,1,5536
2000,1.8743336,0,Brazil,1,5538
2000,5.736351,0,Brazil,1,5539
2000,-2.7394845,0,Brazil,1,5540
2000,-10.729292,0,Brazil,1,5543
2000,22.529474,0,Brazil,1,5545
2000,-13.71409,0,Brazil,1,5546
2000,-19.360075,0,Brazil,1,5549
2000,-3.6951005,1,Brazil,1,5550
2000,-26.212513,0,Brazil,1,5552
2000,-.073075294,0,Brazil,1,5553
2000,7.7721953,0,Brazil,1,5556
2000,7.7484608,0,Brazil,1,5558
2000,1.8132418,0,Brazil,1,5560
2000,6.4559488,0,Brazil,1,5563
2000,-13.466947,0,Brazil,1,5564
2000,-1.8819928,0,Brazil,1,5566
2000,-12.614897,0,Brazil,1,5567
2000,-59.924919,0,Brazil,1,5569
2000,-6.6602321,0,Brazil,1,5570
2000,-22.922377,0,Brazil,1,5572
2000,-21.783569,0,Brazil,1,5574
2000,-4.6717615,0,Brazil,1,5577
2000,-34.323605,0,Brazil,1,5578
2000,-36.555481,0,Brazil,1,5581
2000,-18.42407,1,Brazil,1,5582
2000,18.324331,1,Brazil,1,5583
2000,2.4663062,1,Brazil,1,5584
2000,-.94616413,0,Brazil,1,5586
2000,23.238161,0,Brazil,1,5588
2000,-29.987186,0,Brazil,1,5590
2000,-14.245907,0,Brazil,1,5591
2000,-2.6672931,0,Brazil,1,5592
2000,10.846806,0,Brazil,1,5593
2000,6.3959064,0,Brazil,1,5594
2000,-16.615591,0,Brazil,1,5595
2000,-41.777706,0,Brazil,1,5597
2000,4.2877316,0,Brazil,1,5599
2000,12.796124,0,Brazil,1,5601
2000,-9.0214643,1,Brazil,1,5602
2000,15.240442,0,Brazil,1,5603
2000,10.910404,0,Brazil,1,5604
2000,39.492908,1,Brazil,1,5605
2000,-16.123093,0,Brazil,1,5607
2000,-.17193854,1,Brazil,1,5610
2000,-38.342125,0,Brazil,1,5612
