mct_code,ccode_a,ccode_b,year,primary_challenger,territory,leadership,policy,reparations,other,demonstration,force,target_fatalities,compliance,version
MCT-001,360,310,1918,1,1,0,0,0,1,0,1,0,0,0.9
MCT-002,315,290,1919,1,1,0,0,0,0,0,1,1,0,0.9
MCT-002,200,290,1919,0,1,0,0,0,0,0,1,1,0,0.9
MCT-002,220,290,1919,0,1,0,0,0,0,0,1,1,0,0.9
MCT-003,220,310,1919,1,1,0,0,0,0,0,0,0,0,0.9
MCT-003,2,310,1919,0,1,0,0,0,0,0,0,0,0,0.9
MCT-003,200,310,1919,0,1,0,0,0,0,0,0,0,0,0.9
MCT-004,220,310,1919,1,1,0,0,0,0,0,1,1,0,0.9
MCT-004,2,310,1919,0,1,0,0,0,0,0,1,1,0,0.9
MCT-004,200,310,1919,0,1,0,0,0,0,0,1,1,0,0.9
MCT-005,365,360,1919,1,1,0,0,1,1,1,1,1,0,0.9
MCT-006,220,310,1919,1,0,0,1,0,0,1,1,0,0,0.9
MCT-007,220,310,1919,1,1,0,0,0,0,1,0,0,2,0.9
MCT-008,2,94,1919,1,0,1,0,0,0,1,0,0,2,0.9
MCT-009,640,372,1920,1,1,0,0,0,0,1,1,0,0,0.9
MCT-010,290,365,1920,1,1,0,0,0,0,0,1,1,0,0.9
MCT-011,220,255,1920,1,0,0,0,0,1,0,0,0,0,0.9
MCT-011,200,255,1920,0,0,0,0,0,1,0,0,0,0,0.9
MCT-012,365,373,1920,1,0,1,0,0,0,1,1,0,2,0.9
MCT-013,339,325,1920,1,1,0,0,0,0,1,1,0,2,0.9
MCT-014,365,371,1920,1,0,1,0,0,0,1,0,0,2,0.9
MCT-015,220,255,1921,1,0,0,0,1,0,1,1,0,0,0.9
MCT-015,200,255,1921,0,0,0,0,1,0,1,1,0,0,0.9
MCT-016,315,310,1921,1,0,1,0,0,0,1,0,0,2,0.9
MCT-016,345,310,1921,0,0,1,0,0,0,1,0,0,2,0.9
MCT-016,360,310,1921,0,0,1,0,0,0,1,0,0,2,0.9
MCT-017,2,95,1921,1,1,0,0,0,0,1,0,0,2,0.9
MCT-017,94,95,1921,0,1,0,0,0,0,1,0,0,2,0.9
MCT-018,220,255,1921,1,0,0,0,1,0,0,0,0,1,0.9
MCT-018,200,255,1921,0,0,0,0,1,0,0,0,0,1,0.9
MCT-019,315,310,1921,1,0,1,0,0,0,1,0,0,2,0.9
MCT-019,345,310,1921,0,0,1,0,0,0,1,0,0,2,0.9
MCT-019,360,310,1921,0,0,1,0,0,0,0,0,0,2,0.9
MCT-020,200,365,1922,1,0,0,1,1,1,1,0,0,1,0.9
MCT-021,640,200,1922,1,1,0,0,0,0,1,0,0,2,0.9
MCT-022,640,220,1922,1,1,0,0,0,0,1,0,0,2,0.9
MCT-023,640,325,1922,1,1,0,0,0,0,1,0,0,2,0.9
MCT-024,640,200,1922,1,1,0,1,1,1,1,0,0,2,0.9
MCT-025,640,220,1922,1,1,0,1,1,1,1,0,0,2,0.9
MCT-026,640,325,1922,1,1,0,1,1,1,1,0,0,2,0.9
MCT-027,220,368,1923,1,1,0,0,0,0,1,0,0,1,0.9
MCT-027,200,368,1923,0,1,0,0,0,0,1,1,0,1,0.9
MCT-028,200,365,1923,1,0,0,1,1,1,1,0,0,2,0.9
