country,iso3,cpi_score,gdp_per_capita,polity2
Denmark,DNK,88,62134.0277804831,10
New Zealand,NZL,88,44814.3115073316,10
Finland,FIN,85,53159.1434717446,10
Singapore,SGP,85,101649.074863026,-2
Sweden,SWE,85,56668.3156096077,10
Switzerland,CHE,85,72372.2427980477,10
Norway,NOR,84,70005.8885797836,10
Netherlands,NLD,82,61242.5475414734,10
Germany,DEU,80,57557.8846084843,10
Luxembourg,LUX,80,124569.44515978,10
Australia,AUS,77,53378.3927789903,10
Canada,CAN,77,51663.2492066497,10
Hong Kong,HKG,77,62495.9599403015,NA
United Kingdom,GBR,77,49930.1688846785,8
Austria,AUT,76,60398.5991105885,10
Belgium,BEL,76,56257.1574745554,8
Estonia,EST,75,39976.9554816851,9
Iceland,ISL,75,60257.5346309881,NA
Japan,JPN,74,43593.5050635196,10
Ireland,IRL,72,89818.2172549684,10
United Arab Emirates,ARE,71,70089.3240378269,-8
Uruguay,URY,71,22515.1935903221,10
France,FRA,69,50996.0280839373,10
Bhutan,BTN,68,12355.7935697174,7
Chile,CHL,67,27002.2617508326,10
United States of America,USA,67,65297.5175082743,8
Seychelles,SYC,66,30516.6772624267,NA
Taiwan,TWN,65,NA,10
Barbados,BRB,64,16330.8876795581,NA
Bahamas,BHS,63,38742.5457547658,NA
Qatar,QAT,63,94028.5976845505,-10
Spain,ESP,62,43443.5833739784,10
"Korea, South",KOR,61,44011.2315131667,8
Portugal,PRT,61,37856.3471346082,10
Botswana,BWA,60,18552.7532590413,8
Brunei Darussalam,BRN,60,64847.6517376043,NA
Israel,ISR,60,42894.4926800361,6
Lithuania,LTU,60,39911.8788857671,10
Slovenia,SVN,60,42422.2786841348,10
Saint Vincent and the Grenadines,VCT,59,13037.681093997,NA
Cabo Verde,CPV,58,7489.21150258395,10
Costa Rica,CRI,57,21737.6499065213,10
Cyprus,CYP,57,41254.40458771,10
Latvia,LVA,57,33002.9732949304,8
Georgia,GEO,56,15656.6039478208,7
Poland,POL,56,35170.2056620571,10
Saint Lucia,LCA,56,16132.4145175205,NA
Dominica,DMA,55,12444.441138884,NA
Czechia,CZE,54,44286.9474898875,9
Oman,OMN,54,28507.4762166219,-8
Rwanda,RWA,54,2325.40791678753,-3
Grenada,GRD,53,17792.9086435426,NA
Italy,ITA,53,45719.008290148,10
Malta,MLT,53,47445.2020829218,NA
Mauritius,MUS,53,23882.3542676011,10
Saudi Arabia,SAU,53,49040.3429456877,-10
Malaysia,MYS,51,29619.6872725667,7
Namibia,NAM,51,10063.6499589568,6
Greece,GRC,50,32503.789920638,10
Armenia,ARM,49,14257.9624870448,7
Jordan,JOR,49,10517.0670336401,-3
Slovakia,SVK,49,33515.4325286195,10
