"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23309.0205200435","25020.5071663511","25661.3190049092","26529.2339547371","27714.716606423","27707.4342306763","27562.4596683397","29222.8949134072","29509.8766147189","29718.1698233828","32031.5554262481","31062.3492943905","29847.9283518139","30355.7323804974","33053.246533983","34050.4715742545","35167.1663632633","36621.0351132862","37249.4504598536","33552.8898211474","32624.209094705","34326.1448226739","33569.1865005073","36477.7793887055","36444.2620573183","36765.1160710175","37359.3734383699","38442.4138382323","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.014423471338","927.857547925085","925.44161616896","1023.05162962569","1077.7619066135","1228.70413479594","1272.57320418133","1519.6925481355","1710.57564540856","1699.48799733991","1914.77435127371","2015.51496204541","2069.42464180385","2087.30532306683","2128.98802616095","2202.5708512665","2241.92324554494","2293.55168387905","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3267.06700380021","3299.50075561885","3075.12293289585","2316.5436426806","2321.58128787376","2639.51027498998","2955.3563810763","3122.89880893322","3201.1463008734","3212.12157733704","3275.12862821245","3374.48199675","3768.7164453832","3822.12762812961","4207.12052604953","4816.70630376003","5338.74047318897","6024.33958444986","6578.60518016596","6442.5796177932","6587.98690078045","6710.75034592031","7412.96526317885","7682.47715828865","8179.29600657648","7337.56955890673","7103.22593805783","7310.90173803536","7097.11876818067","6929.67815844764","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.87543752093","1908.66655120725","1822.88029798253","2056.9674002274","2289.33639996628","2665.14006353609","2979.36777516392","2716.72518776619","3021.00727264605","3471.65486432089","3862.27205020377","4301.3641662172","4661.36720669305","4994.58547370098","5422.80295242047","5865.32480335253","6558.63893359311","7275.80430116483","8228.33660934276","8821.51266402369","9635.18333221744","10207.7694356273","10526.2950176329","10570.9771804821","11259.2462059653","11661.9768725943","12002.9318987545","13037.0100155002","13833.9816028337","14495.0785140737","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6851.73208690464","7419.53745070239","7824.59662631178","8021.94801075332","8216.13017437961","8350.17564047551","8687.17741778802","9001.71180578606","9405.35267778799","9526.80185600666","10044.0978539492","10210.3096808495","10201.2775454281","10660.2742502582","11683.7361051328","12440.9487388941","13288.1031558042","13914.3208793535","14656.0373808644","14522.4436024838","15025.4675739587","15514.3589281847","16546.023708638","16501.6697117378","16213.1933263674","14609.6320150228","14012.6979251194","14557.7684668111","14972.4307275907","15216.5434606137","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87226.5392672559","85847.3220091261","85624.9058064175","83847.7035339144","86706.2982361366","89724.4893279323","91943.1373667292","96179.9722792889","92627.8659806465","91710.3909492477","98363.7313112019","96722.5963769373","95549.9701791932","99238.3363418873","101871.509403108","97669.9935931742","95678.2816458938","87101.6830511117","79730.9491128763","68166.4444090045","64881.8564605665","67686.3929453288","69102.4912887174","70374.2200605325","73619.1005840251","64901.8520246431","63968.853871334","67183.6265568253","68548.5147178225","69900.8778476933","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7195.69144377812","8005.4655575167","8719.10168164016","9532.88869606659","10175.1251212887","9969.60059844667","10586.1105736035","11507.8983269261","11949.4160206482","11581.8905137394","11618.7960696298","11226.8773367333","10052.4866553529","11025.1855198907","12214.7400764607","13568.7667630743","14951.7281901133","16570.0111669312","17404.0687079209","16334.7400060071","18061.9343590895","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23562.9188342608","23282.6370416077","22947.1397952874","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2773.93765691076","2555.99582409834","1549.08496451557","1480.51515503102","1632.34287916984","1818.28694774751","1990.57789649001","2115.61164308155","2313.62077229018","2439.91117340728","2658.34951779864","2995.90786329622","3463.98377993143","4043.66310077427","4614.8621141257","5455.42218484786","6411.80663595747","7551.63590711558","8300.48342393032","7233.04493685093","7506.30886458452","8025.45290497468","9364.40776670097","9835.83301127565","10036.8898405952","9969.68530070721","10704.2334081494","12115.0570089389","13014.9920304791","14219.6277088197","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11595.0901528692","12085.9845008837","12290.4700359681","12982.9880674801","13845.1389199659","13230.599462468","14055.0857424532","14757.7063795513","15305.4506111615","15789.4679370025","16918.5960898161","16178.6020450874","16373.1600025695","17463.3553911916","18717.7202413515","20253.7738654454","23170.3162739881","25586.8071717401","25657.998557736","22369.9935619789","20611.9140706989","20347.1845441703","19597.5903185238","18796.3939521053","19039.0045029811","18912.3174809176","19918.7906300797","19840.0761229321","21614.066057539","22816.4522023563","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17332.3338671753","17784.3566873561","18176.8910772513","19118.8704992054","20051.3802104269","20878.6635099155","21957.4016367586","22924.9150145466","24172.6781021459","25264.3643562136","26318.4162072948","27356.5320619959","28718.241079556","29732.129600229","31299.8495244667","32575.0692539649","34290.5244809896","36546.4731913052","37459.307649507","40301.9577592293","39301.602648302","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46276.1506853863","47349.9279542726","48905.4171954152","51036.4058896921","53320.2690427848","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19436.7643707181","20579.1380418142","21253.5649662165","21692.133988239","22600.3978997374","23653.6584154147","24516.6481229744","25418.1492199101","26674.5228277729","27606.4830303088","29387.0282969091","29715.5120369684","31178.6933297272","32109.1381163943","33743.1982822753","35013.7140443423","37616.7401636252","39389.6850087047","41316.225176699","40957.5007518995","42037.4904752225","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49879.2664728545","52633.2542884635","54637.0012845153","56871.2113998202","59110.5625590813","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360.07052939975","5417.78632980742","4224.43878645183","3275.42318398118","2650.26117584617","2359.21640184383","2409.19330610034","2567.98740529229","2829.59509676456","3055.92530700285","3442.63193216128","3836.59959071447","4233.44006335755","4716.37761192452","5245.42525084493","6850.81301851245","9387.10934916943","11957.3911666382","13200.9407060721","14248.8924605201","14926.6376403713","14804.5744507911","15957.718850285","17188.9455056612","17443.8782563093","14938.4011276715","14371.0227410092","14121.4069355591","14544.953356988","15000.8164973542","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615.072101204146","652.532846221576","659.83992573553","621.036730807811","599.569208401782","555.367529306696","514.020275616309","509.35739107171","534.024026166757","529.283702382433","527.080874651834","537.359543556885","554.945261559317","541.764468256049","565.042350494707","569.27458512413","598.507676218969","615.230498413276","636.33218070787","644.104637267508","663.054795248755","681.971621284674","690.688140462063","740.984230793905","777.041557228105","841.646357215727","796.944387318245","773.571858394255","779.493818360614","782.816588798388","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18653.7962247677","19565.2848184626","20235.19856593","20435.4084386232","21479.006616364","22405.3677968845","22703.9964514072","23724.2659333337","24368.4448609663","25440.8411888638","27794.9778610734","28800.3879346151","30282.2886450283","30899.0654242476","32034.0150753085","33177.8909458158","35216.6497097041","36752.9828470329","37883.3319417819","37785.8681727099","39866.7272663767","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46213.2665340101","48608.9577816505","50725.1863102987","52249.5734616414","54545.1508845001","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1259.57244777853","1312.12579917927","1334.47769804829","1396.0836027556","1405.70910958707","1472.6337526246","1516.00395792339","1581.94309320914","1614.63005190375","1675.2458002696","1759.71907538204","1837.80403392214","1895.00043977644","1936.88122974906","2015.63750597039","2052.52833878221","2135.26273056067","2258.49187843136","2347.92270462442","2353.63420833718","2364.11835143685","2416.32710692027","2498.49731338005","2669.68982061252","2833.41192647339","2886.83186680607","3004.80918688439","3044.51388698516","3235.36169466976","3423.55172692169","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","589.903198143159","647.596021663171","646.255471146281","666.168855177238","670.79481862373","704.399225656665","774.589998266241","814.722350137941","859.663228335538","910.57994983384","921.939891579203","976.161042742374","1005.42974519929","1072.46739013805","1117.46543168154","1215.57371057017","1291.48551633756","1339.73840006841","1401.95772723993","1411.12752844863","1502.10346985442","1586.5715557449","1619.40001222911","1683.10741055173","1692.30439694524","1713.51937899955","1893.6964347046","2053.50441763731","2181.84586508627","2280.38003653286","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850.504993700031","888.997352556574","937.573055565513","983.451105198873","1021.43091609939","1073.10420267795","1118.10087911249","1163.61713826106","1212.18803938039","1261.34443375973","1331.54827489787","1403.12604409839","1453.26189967675","1523.79715015918","1620.42472898758","1753.87429547609","1901.71618658119","2065.15447700244","2206.5099318953","2309.56319433464","2439.06956778992","2620.82248355375","2937.58845156683","3143.51835686654","3367.99552513598","3555.50551000354","3849.11098688433","4161.09013459284","4546.22741835774","4950.74358140884","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7536.98688702512","7204.82456734422","6906.88548325819","7021.65651065362","7326.81452375226","7728.74755112875","6836.62872278597","5748.48197196103","6177.58614864325","5807.81610682049","6424.3971924283","6961.93692293589","7786.38655736833","8407.78546607404","9193.15647935813","10291.4704821245","11394.3456027194","12798.0929649571","14335.6964272794","14188.1692573157","14872.3742095052","15661.2019260434","16241.6330660603","16581.7705883219","17555.4950407247","18341.9605852465","19885.7818672588","21363.0290871128","22601.4034869416","24561.1826135398","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26875.5966990475","30066.2630838936","31972.8907287066","36038.6315422491","35822.7573915797","37059.515223417","38272.7883657465","39039.6347770039","40104.8451363701","40910.6531104002","42181.8425745851","42094.8831544541","41932.2413123971","42860.4822233053","44185.4450297904","45400.4952767228","46200.8768908553","47533.0885615724","47847.7869517308","46498.804164586","46873.0988800275","47377.5724439003","50675.582035476","51494.4117178119","51101.9005266201","45686.2466432523","44790.0878483094","47642.4482864603","47333.491198074","46891.8598387148","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21497.1554072637","20904.378943319","20174.7312198846","20331.1183441645","21048.2164722515","22083.2518193275","23124.24596278","23725.7077760704","24844.3224271181","26685.3695491815","28033.6262658121","28957.0373905826","29715.5194905909","29362.6140774992","29869.3979324386","31260.8331285777","32401.6489386872","33117.4705232318","32373.3064707833","30728.5540209447","31090.2644824904","31522.6050264014","32216.4920747631","31855.2997737548","32562.331422426","33542.1535883064","34182.6046193957","35308.4133992786","36338.2476758429","37265.8121022677","",
