"muni_code","Welec","MainParty","AlcParty","FemAlc","pop","Wshare","Wshare03","FemAlc03","Area_hec","opland07","pop03","corr0711","corr1115","nuc1115","nuc711","nuc37","nvac7","PP03","PSOE03","ec","const","tur","ind","com","bancos","corr0307"
45080,0,"PP","PP",0,6,0,0,0,915,57811.39241,8,0,0,-0.000949367,0,0.000950631,0.17721519,1,0,4,0.59,0,10,4,0,0
9184,0,"PP","PP",0,9,0,0,0,1745,90314.50777,15,0,0,0.000209424,1.15e-16,0.002667922,0.398963731,1,0,20,2.57,1,49,12,5,0
26161,0,"PP","PP",0,9,0,0,0,1393,116958.8235,12,0,0,0.020583333,-0.008403361,-0.001340707,0.201680672,1,0,1,0.57,1,3,0,0,0
26173,0,"PP","PP",0,9,0,0,0,1177,145208.642,9,0,0,0.012682927,0.12345679,-0.001486989,1.975308642,1,0,3,0.48,3,8,2,0,0
42082,0,"PP","PP",0,10,0,0,0,1045,125803.6145,14,0,0,0.726395349,0.012048193,-0.003717472,0.168674699,1,0,NA,NA,NA,NA,NA,NA,0
19270,0,"PP","PP",0,11,0,0,0,1162,98374.57627,10,0,0,-0.145677966,-4.7e-17,-0.009886887,0.169491525,1,0,NA,NA,NA,NA,NA,NA,0
42098,0,"PP","PP",0,12,0,0,0,2607,280222.5806,23,0,0,0.003225806,-0.010752688,0.013819369,0.172043011,1,0,8,0.64,1,24,3,0,0
42106,1,"OTROS","OTROS",1,12,1,0,0,790,127319.3548,17,0,0,0.064920635,0.016129032,-0.011407455,0.14516129,1,0,5,1,1,15,4,0,0
44203,0,"PP","PP",0,12,0,0,0,1689,219250.6494,8,0,0,-0.001818182,7.21e-17,0.008621816,0.38961039,1,0,NA,NA,NA,NA,NA,NA,0
19079,0,"PP","PP",0,13,0,0,0,1954,185995.2381,7,0,0,-0.015378788,0.19047619,0.005341473,0.638095238,1,0,NA,NA,NA,NA,NA,NA,0
34230,0,"PP","PP",0,13,0,0,0,768,34185.71429,16,0,0,-0.000204082,0.120535714,-0.033083942,0.0625,1,0,NA,NA,NA,NA,NA,NA,0
42054,1,"OTROS","OTROS",1,13,1,0,0,1276,49549.80545,12,0,0,0.016863905,-0.338521401,0.544233191,0.120622568,1,0,NA,NA,NA,NA,NA,NA,0
44023,0,"PSOE","PSOE",0,13,0,0,0,1865,219311.7647,14,0,0,0.008,-6.53e-17,-0.006329856,0.376470588,0,1,7,0.4,0,4,1,1,0
50042,0,"PAR","PAR",0,13,0,0,0,1940,197859.1837,23,0,0,-0.000714286,7.08e-17,0.003281378,0.081632653,0,0,11,0.42,1,34,14,0,0
26077,0,"PP","PP",0,14,0,0,0,1190,152464.1026,15,0,0,-0.022692308,0.012820513,0.000770317,0.641025641,1,0,NA,NA,NA,NA,NA,NA,0
26153,0,"PSOE","PSOE",0,14,0,0,0,1164,187641.9355,15,0,0,-0.003424658,0.177419355,0.009164793,1.306451613,0,1,NA,NA,NA,NA,NA,NA,0
26181,0,"PP","PP",0,14,0,0,0,1829,299736.0656,15,0,0,0.199344262,0.344262295,-0.011569171,0.163934426,1,0,NA,NA,NA,NA,NA,NA,0
42196,0,"PP","PP",0,14,0,0,0,3192,144334.3891,22,0,0,-0.001131222,-1e-16,0.019870932,0.117647059,1,0,3,NA,4,NA,NA,2,0
19118,0,"PSOE","PSOE",0,16,0,0,0,2605,520900,17,0,0,-0.020967742,1.82,-0.052099237,0.04,0,1,NA,NA,NA,NA,NA,NA,0
19284,0,"PSOE","PSOE",0,16,0,0,0,1782,104110.5263,17,0,0,-6.8e-05,-0.140350877,-0.001519313,0.070175439,0,1,NA,NA,NA,NA,NA,NA,0
42108,0,"PP","PP",0,16,0,0,0,3039,126525,17,0,0,-0.040041667,-9.25e-17,8.33e-05,0.291666667,1,0,3,0.89,2,9,3,0,0
42193,0,"PP","PP",0,16,0,0,0,485,27456.81818,20,0,0,0.027840909,-3.15e-17,-0.053329058,0.107954545,1,0,NA,NA,NA,NA,NA,NA,0
9310,0,"IND","IND",0,17,0,0,0,851,68529.03226,23,0,0,-0.002459016,0,0.169880885,0.403225806,0,0,8,1.73,13,21,5,3,0
19010,0,"PSOE","PSOE",0,17,0,0,0,1666,85335.89744,26,0,0,0.001985294,-0.261538462,-0.001997644,0.148717949,1,0,NA,NA,NA,NA,NA,NA,0
12037,0,"PSOE","PSOE",0,18,0,0,0,3072,348990.9091,18,0,0,0.107613636,-4.73e-17,0.039728353,0.090909091,0,1,NA,NA,NA,NA,NA,NA,0
19153,0,"PSOE","PSOE",0,18,0,0,0,1005,218378.2609,17,0,0,0.117391304,3.77e-17,0.050788091,0.043478261,0,1,NA,NA,NA,NA,NA,NA,0
26045,0,"PP","PP",0,18,0,0,0,1243,114992.5926,21,0,0,0.00146789,0.018518519,0.055266204,0.416666667,1,0,56,3.11,2,132,23,8,0
