"muni_code","Welec","MainParty","AlcParty","FemAlc","pop","Wshare","Wshare07","Area_hec","opland07","vacland07","corr0711","corr1115","nuc1115","nuc711","PP07","PSOE07","ec","const","tur","ind","com","bancos"
9184,1,"PP","PP",0,5,0.333333333,0,1745,91261.25654,41.36125654,0,0,0.000209424,1.15e-16,1,0,NA,NA,NA,NA,NA,NA
45080,0,"PP","PP",0,5,0,0,915,57811.39241,17.72151899,0,0,-0.000949367,0,1,0,NA,NA,NA,NA,NA,NA
44203,0,"PAR","PP",0,8,0,0,1689,219250.6494,38.96103896,0,0,-0.001818182,7.21e-17,1,0,NA,NA,NA,NA,NA,NA
26161,1,"PP","PP",0,9,0.333333333,0,1393,115983.3333,18.33333333,0,0,0.020583333,-0.008403361,1,0,NA,NA,NA,NA,NA,NA
26173,0,"PP","PP",0,9,0,0,1177,143436.5854,206.097561,0,0,0.012682927,0.12345679,1,0,NA,NA,NA,NA,NA,NA
42206,1,"PP","PP",1,9,1,1,2143,138158.0645,82.58064516,0,0,0.00916129,0.006410256,1,0,NA,NA,NA,NA,NA,NA
19079,0,"PP","PP",0,11,0,0,1954,147930.303,45.45454545,0,0,-0.015378788,0.19047619,1,0,NA,NA,NA,NA,NA,NA
34230,0,"PP","PP",0,11,0,0,768,31246.93878,8.163265306,0,0,-0.000204082,0.120535714,1,0,NA,NA,NA,NA,NA,NA
42082,0,"PP","PP",0,11,0,0,1045,121411.6279,13.95348837,0,0,0.726395349,0.012048193,1,0,NA,NA,NA,NA,NA,NA
19284,0,"PSOE","PSOE",0,12,0,0,1782,121124.4898,8.163265306,0,0,-6.8e-05,-0.140350877,0,1,NA,NA,NA,NA,NA,NA
26153,1,"PSOE","PSOE",0,12,0.333333333,0,1164,159352.0548,110.9589041,0,0,-0.003424658,0.177419355,0,1,NA,NA,NA,NA,NA,NA
9446,0,"PP","PP",0,13,0,0,676,50347.76119,35.82089552,0,0,-0.005671642,0.015151515,1,0,NA,NA,NA,NA,NA,NA
19310,0,"PSOE","PSOE",0,13,0,0,2521,560122.2222,33.33333333,0,0,0.164222222,0.216216216,0,0,NA,NA,NA,NA,NA,NA
